constructTestCases(): generating 11 specified cases ...  DONE
Procedure Optimizer.Optimize()
!!! --- WARNING --- !!! Oracle probabilites : ENABLED !!! --- WARNING --- !!!
Optimizer(): Simulated Annealing , Random-normalized optimality [%]
Optimizer(): config:  [[0.5, 0.5, 10], [9.0, 1.0, 300], [], 10, 10, 0.75, 0.01, 0.5, 0.01]
Optimizer(): selective: [  1  2  3  ]
Optimizer(): evals/step: 1
Optimizer(): numParams: 3 , completeRepeats: 100
MABsolver_config: algorithms: UCBtuned , CP DavorTom , CPT Davor , Reset SingleMovingAvg
MABsolver_config: params: types:  Direct  Direct  Direct  Direct  Direct  
MABsolver_config: params: numInputs:  0  0  0  0  0  
MABsolver_config: params: weights:  [  0.166000  ]  [  2.500000  ]  [  1.000000  ]  [  50.000000  ]  [  1.000000  ]  
BanditTestBatch: casesIDs:  6  7  8  9  
BanditTestBatch: numCases: 4
BanditTestBatch: maxim sum reward: 2149.0
BanditTestBatch: random reward: 1365.5
 Evals       Score          p01       p02       p03       case01    case02    case03    case04 
  1634       77.36     8.704387  0.679958  138.512534        56.34     71.02    100.00     82.10 
  1635       71.25     8.655552  0.629579  103.934899        56.34     71.02     75.51     82.12 
  1636       71.51     7.121586  0.733590  108.881581        56.34     72.11     75.51     82.10 
  1637       77.36     6.870019  0.601713  81.866503        56.34     71.02     99.99     82.07 
  1638       71.24     8.279663  0.567842  50.369993        56.34     71.02     75.51     82.09 
  1639       72.90     6.116926  0.675918  134.685847        56.34     77.78     75.51     81.97 
  1640       72.91     6.087320  0.672378  132.464375        56.34     77.71     75.50     82.07 
  1641       77.36     7.270377  0.583376  142.338779        56.34     71.02    100.00     82.08 
  1642       77.36     6.868656  0.570185  111.556677        56.34     71.02     99.98     82.10 
  1643       71.24     7.944591  0.642873  58.932500        56.34     71.02     75.51     82.09 
  1644       71.24     7.609696  0.519463  67.675067        56.34     71.02     75.50     82.09 
  1645       77.33     5.975191  0.565288  119.691712        56.34     71.02    100.00     81.97 
  1646       74.66     4.757030  0.622816  94.791246        56.34     84.69     75.51     82.10 
  1647       75.53     3.726139  0.655827  104.553030        56.34     88.18     75.50     82.11 
  1648       76.79     2.776334  0.608836  81.356482        56.34     93.35     75.49     81.96 
  1649       75.20     3.793901  0.598448  44.955087        56.34     86.87     75.51     82.09 
  1650       76.57     3.149529  0.576696  71.602476        56.34     92.33     75.50     82.12 
  1651       76.12     2.707271  0.627144  110.794045        56.34     90.51     75.51     82.10 
  1652       85.42     1.519465  0.612004  110.576141        66.88     92.91     99.99     81.91 
  1653       76.95     2.215206  0.545141  81.884721        56.34     93.85     75.50     82.10 
  1654       81.82     2.914224  0.558245  146.833567        56.34     88.84     99.99     82.10 
  1655       75.66     3.023408  0.569404  125.855809        56.34     88.69     75.51     82.09 
  1656       76.30     2.111569  0.544860  187.175218        56.34     91.24     75.50     82.12 
  1657       79.97     1.333955  0.601807  169.214317        69.66     92.62     75.50     82.09 
  1658       88.08     1.083364  0.550302  177.637179        77.79     92.40    100.00     82.12 
  1659       88.74     0.890489  0.541675  190.749801        80.75     92.11    100.00     82.09 
  1660       83.67     1.532181  0.610826  174.233749        59.61     92.98     99.99     82.10 
  1661       82.89     1.591124  0.557898  187.942399        56.34     93.13    100.00     82.10 
  1662       81.96     0.785422  0.512424  225.664835        81.56     88.84     75.50     81.96 
  1663       87.70     0.953069  0.539224  225.596746        79.56     89.13    100.00     82.10 
  1664       81.59     1.012943  0.565544  220.616258        79.63     89.13     75.50     82.09 
  1665       78.85     1.363487  0.584583  256.451286        68.01     89.78     75.51     82.09 
  1666       84.20     0.760227  0.592429  210.493206        90.72     88.47     75.51     82.10 
  1667       75.99     1.928094  0.567415  216.550660        56.34     90.00     75.51     82.09 
  1668       81.90     0.966703  0.581323  249.356598        80.99     88.98     75.49     82.12 
  1669       76.04     1.688179  0.514792  250.337202        56.34     90.22     75.51     82.08 
  1670       82.83     1.246625  0.523919  212.548049        59.35     89.85     99.99     82.10 
  1671       76.12     1.716825  0.563382  247.873296        56.34     90.65     75.50     81.97 
  1672       82.15     0.993344  0.536473  195.451105        78.73     92.25     75.49     82.11 
  1673       87.60     1.021124  0.558074  251.394376        79.17     89.13    100.00     82.09 
  1674       82.11     1.796934  0.542795  224.337654        56.34     90.15    100.00     81.97 
  1675       87.73     0.873465  0.509970  241.012267        79.79     89.05     99.99     82.08 
  1676       81.11     0.990187  0.507932  263.269610        77.49     89.35     75.51     82.10 
  1677       90.07     0.720821  0.547666  244.099326        89.77     88.55    100.00     81.98 
  1678       87.48     1.089907  0.570329  261.458479        78.57     89.27    100.00     82.09 
  1679       87.39     0.935896  0.505376  253.493320        78.40     89.20    100.00     81.97 
  1680       81.64     0.872998  0.517693  247.427282        80.12     88.98     75.50     81.97 
  1681       76.10     1.640218  0.525041  260.563546        56.34     90.58     75.51     81.98 
  1682       82.87     1.188523  0.507920  244.554946        59.60     89.78    100.00     82.09 
  1683       84.63     0.567421  0.538230  249.398605        92.71     88.18     75.51     82.10 
  1684       83.96     0.644931  0.503219  278.546069        89.77     88.47     75.50     82.10 
  1685       85.30     1.054515  0.509322  234.916277        69.83     89.49     99.99     81.90 
  1686       88.03     0.792957  0.506865  244.022038        81.21     88.84    100.00     82.09 
  1687       89.84     0.772131  0.547950  239.075847        88.66     88.62     99.99     82.11 
  1688       84.36     0.647919  0.551802  254.558044        91.65     88.33     75.50     81.97 
  1689       81.48     0.973146  0.538763  244.755512        79.18     89.13     75.50     82.10 
  1690       89.81     0.731692  0.529051  250.459783        88.72     88.62    100.00     81.90 
  1691       90.45     0.667380  0.549291  233.286775        91.43     88.40    100.00     81.97 
  1692       81.15     1.021859  0.523673  227.716760        77.65     89.35     75.51     82.10 
  1693       89.85     0.771098  0.543771  233.705317        88.58     88.69    100.00     82.11 
  1694       82.00     0.883694  0.559675  228.130518        81.55     88.84     75.51     82.09 
  1695       79.09     1.221336  0.558230  237.040245        69.20     89.56     75.51     82.10 
  1696       79.04     1.227445  0.556034  230.964743        68.94     89.64     75.50     82.07 
  1697       84.91     1.188747  0.526384  224.830668        67.85     89.71    100.00     82.10 
  1698       89.57     0.839017  0.552020  225.417542        87.41     88.76    100.00     82.09 
  1699       89.56     0.840153  0.552553  224.158741        87.41     88.76    100.00     82.08 
  1700       81.91     0.919525  0.563722  228.098479        81.10     88.91     75.51     82.10 
  1701       84.58     0.601904  0.552083  229.674875        92.59     88.25     75.51     81.96 
  1702       84.33     0.692786  0.566395  224.276382        91.46     88.40     75.51     81.96 
  1703       87.76     0.998344  0.566224  222.786596        79.90     89.05     99.99     82.08 
  1704       89.99     0.754868  0.546156  220.626750        89.39     88.62     99.99     81.97 
  1705       90.73     0.588744  0.543107  227.822810        92.59     88.25    100.00     82.10 
  1706       90.02     0.721266  0.527454  236.318803        89.38     88.62    100.00     82.09 
  1707       83.73     0.745791  0.534394  236.813724        88.67     88.62     75.51     82.11 
  1708       90.74     0.587042  0.544247  228.729786        92.62     88.25     99.99     82.10 
  1709       84.62     0.582819  0.543594  229.549088        92.64     88.25     75.50     82.07 
  1710       90.55     0.606224  0.542397  229.972685        91.88     88.25    100.00     82.08 
  1711       84.38     0.638093  0.543793  229.339480        91.62     88.33     75.49     82.10 
  1712       90.47     0.641559  0.544715  229.105400        91.61     88.33    100.00     81.96 
  1713       84.54     0.606420  0.543712  228.848914        92.45     88.25     75.51     81.96 
  1714       84.36     0.659437  0.545654  230.167629        91.45     88.40     75.51     82.09 
  1715       84.45     0.616021  0.545800  229.155270        91.84     88.33     75.50     82.11 
  1716       90.71     0.599202  0.543650  227.753067        92.50     88.25     99.98     82.09 
  1717       90.53     0.627943  0.541704  228.758807        91.68     88.33    100.00     82.12 
  1718       90.52     0.627943  0.541704  228.758807        91.68     88.33    100.00     82.09 
  1719       81.45     2.465650  0.546874  225.099623        56.34     87.38    100.00     82.09 
  1720       84.77     0.816295  0.598348  198.870768        89.76     91.75     75.51     82.07 
  1721       81.40     2.865624  0.617715  257.077799        56.34     87.16     99.99     82.09 
  1722       80.44     3.132963  0.506548  290.799714        56.34     83.45     99.99     81.96 
  1723       73.57     4.176624  0.548587  298.354480        56.34     80.33     75.50     82.10 
  1724       79.51     4.702522  0.587636  277.014561        56.34     79.60     99.99     82.10 
  1725       74.33     4.578421  0.709232  272.568778        56.34     83.38     75.51     82.09 
  1726       81.22     3.253938  0.648923  292.701417        56.34     86.44    100.00     82.09 
  1727       78.92     1.644039  0.666959  243.968124        68.36     89.85     75.50     81.97 
  1728       79.93     4.046752  0.561206  283.213530        56.34     81.27     99.99     82.10 
  1729       80.56     3.661537  0.605153  222.800796        56.34     83.96     99.98     81.96 
  1730       75.76     3.495025  0.676062  191.950221        56.34     89.13     75.50     82.07 
  1731       81.63     4.235211  0.729898  168.356891        56.34     88.11    100.00     82.09 
  1732       82.54     2.642619  0.715894  129.376330        56.34     91.75     99.99     82.08 
  1733       82.87     3.494568  0.729421  88.720275        56.34     93.20     99.99     81.96 
  1734       75.35     4.191625  0.685634  95.039588        56.34     87.45     75.51     82.07 
  1735       75.08     4.641541  0.686597  110.708457        56.34     86.36     75.50     82.10 
  1736       71.24     6.427765  0.597310  133.736044        56.34     71.02     75.50     82.10 
  1737       77.44     6.169318  0.635696  78.349561        56.34     71.45    100.00     81.96 
  1738       81.26     4.884570  0.730962  51.296620        56.34     86.58     99.99     82.11 
  1739       80.87     5.724841  0.749065  100.704468        56.34     85.05    100.00     82.09 
  1740       73.24     6.345801  0.742802  11.908686        56.34     79.16     75.50     81.94 
  1741       79.40     5.544213  0.668159  36.420031        56.34     79.31    100.00     81.96 
  1742       72.99     5.793586  0.657627  53.774911        56.34     78.15     75.51     81.94 
  1743       80.77     5.656630  0.730087  84.404291        56.34     84.76    100.00     81.97 
  1744       73.04     6.974880  0.770386  110.318778        56.34     78.22     75.50     82.11 
  1745       73.45     6.765658  0.809445  156.111047        56.34     79.89     75.51     82.07 
  1746       74.57     7.409324  0.883996  197.585366        56.34     84.33     75.51     82.10 
  1747       79.27     8.556288  0.917504  220.143260        56.34     78.65     99.98     82.09 
  1748       73.59     8.107533  0.951504  227.163554        56.34     80.40     75.51     82.10 
  1749       80.88     7.456912  0.927241  186.815039        56.34     85.05    100.00     82.11 
  1750       79.90     7.265603  0.911697  234.667836        56.34     81.20     99.99     82.07 
  1751       79.60     7.767261  0.905287  239.123444        56.34     79.96    100.00     82.10 
  1752       79.16     7.814010  0.840790  191.015975        56.34     78.22     99.98     82.09 
  1753       79.32     8.419825  0.916883  237.546075        56.34     78.87     99.98     82.09 
  1754       80.98     7.607473  0.966422  192.904406        56.34     85.49     99.99     82.10 
  1755       73.20     8.960690  0.957419  171.040847        56.34     78.87     75.51     82.07 
  1756       73.37     7.755399  0.886569  153.646775        56.34     79.53     75.51     82.11 
  1757       73.16     8.674067  0.931142  203.450903        56.34     78.73     75.50     82.07 
  1758       80.13     7.147704  0.939418  231.502945        56.34     82.07    100.00     82.09 
  1759       79.93     6.842426  0.873095  200.418637        56.34     81.27    100.00     82.09 
  1760       74.97     6.948475  0.930929  164.813422        56.34     85.93     75.50     82.10 
  1761       73.74     6.408073  0.819799  228.591739        56.34     80.98     75.51     82.12 
  1762       73.81     6.183198  0.806316  209.372581        56.34     81.27     75.51     82.11 
  1763       80.84     6.903210  0.873733  162.323770        56.34     85.05     99.99     81.97 
  1764       79.38     7.979649  0.888233  176.458360        56.34     79.09     99.98     82.09 
  1765       80.96     7.204392  0.933596  180.447307        56.34     85.56     99.99     81.96 
  1766       79.62     7.496631  0.884086  209.938084        56.34     80.04     99.99     82.10 
  1767       73.44     7.288749  0.854989  231.746968        56.34     79.82     75.49     82.10 
  1768       74.69     7.749725  0.950968  188.878876        56.34     84.98     75.49     81.96 
  1769       75.04     6.991196  0.952560  183.168385        56.34     86.22     75.51     82.10 
  1770       74.82     7.392460  0.946737  181.328394        56.34     85.49     75.51     81.96 
  1771       74.80     6.963923  0.891908  182.885727        56.34     85.27     75.50     82.09 
  1772       79.76     7.876241  0.941872  208.889445        56.34     80.62     99.99     82.10 
  1773       80.00     7.023470  0.915143  218.127031        56.34     81.78     99.98     81.90 
  1774       73.57     7.892877  0.929702  230.931398        56.34     80.33     75.51     82.10 
  1775       79.94     6.740641  0.866446  232.321269        56.34     81.35     99.99     82.09 
  1776       73.35     6.975870  0.814371  215.104937        56.34     79.45     75.51     82.11 
  1777       80.79     6.285924  0.798959  187.127997        56.34     84.84    100.00     81.96 
  1778       74.03     5.487764  0.775236  203.863970        56.34     82.29     75.51     81.96 
  1779       81.15     5.673851  0.803086  168.625000        56.34     86.15     99.99     82.10 
  1780       81.33     5.096983  0.771973  150.554288        56.34     86.87     99.99     82.11 
  1781       81.24     5.066481  0.747251  147.394304        56.34     86.51     99.99     82.10 
  1782       81.00     5.602324  0.760741  159.469054        56.34     85.56    100.00     82.08 
  1783       74.66     5.701866  0.739757  160.340734        56.34     84.91     75.50     81.90 
  1784       75.00     5.695714  0.798864  144.069369        56.34     86.07     75.49     82.10 
  1785       80.69     6.271077  0.773243  169.977154        56.34     84.33    100.00     82.10 
  1786       79.46     6.375294  0.752933  164.126274        56.34     79.38    100.00     82.11 
  1787       71.57     6.904847  0.721877  139.614265        56.34     72.33     75.51     82.09 
  1788       73.45     6.520199  0.784800  157.152485        56.34     79.82     75.51     82.11 
  1789       73.25     6.354063  0.740980  157.786234        56.34     79.09     75.50     82.08 
  1790       74.54     6.312207  0.774299  159.946560        56.34     84.25     75.50     82.07 
  1791       73.15     6.872895  0.780657  173.606698        56.34     78.80     75.49     81.97 
  1792       80.67     5.979328  0.738359  158.458893        56.34     84.25    100.00     82.09 
  1793       73.06     6.383015  0.717992  168.269062        56.34     78.29     75.51     82.09 
  1794       73.08     6.450061  0.727006  154.248152        56.34     78.36     75.51     82.10 
  1795       74.68     5.752221  0.739311  143.885273        56.34     84.76     75.51     82.10 
  1796       79.40     5.998288  0.715844  165.452960        56.34     79.38     99.99     81.90 
  1797       79.47     6.315843  0.750828  157.639879        56.34     79.45     99.98     82.09 
  1798       79.34     6.404381  0.741695  166.271217        56.34     78.95    100.00     82.09 
  1799       73.41     6.159612  0.743875  173.185327        56.34     79.67     75.51     82.10 
  1800       73.15     6.413879  0.731976  168.813869        56.34     78.65     75.51     82.11 
  1801       73.42     6.146552  0.744835  157.767923        56.34     79.75     75.51     82.10 
  1802       79.49     6.312400  0.753647  172.384196        56.34     79.53     99.99     82.10 
  1803       79.43     6.387039  0.758536  174.845720        56.34     79.45     99.99     81.95 
  1804       79.41     6.414860  0.753628  168.342486        56.34     79.24     99.98     82.10 
  1805       73.28     6.276340  0.737633  168.823387        56.34     79.16     75.49     82.10 
  1806       79.56     6.244981  0.762185  160.471082        56.34     79.96     99.98     81.97 
  1807       73.44     6.181956  0.751278  160.433722        56.34     79.82     75.50     82.08 
  1808       74.61     6.019148  0.761854  164.078703        56.34     84.62     75.51     81.97 
  1809       73.48     6.244523  0.763022  160.380994        56.34     79.96     75.51     82.11 
  1810       74.55     6.227657  0.763915  161.606701        56.34     84.25     75.50     82.10 
  1811       79.58     6.242232  0.760699  160.936021        56.34     79.89    100.00     82.10 
  1812       79.58     6.278912  0.762388  159.724594        56.34     79.89     99.99     82.10 
  1813       79.55     6.280465  0.764738  158.378793        56.34     79.96    100.00     81.90 
  1814       80.64     6.248275  0.766466  159.148672        56.34     84.25    100.00     81.97 
  1815       74.54     6.206890  0.767298  158.667942        56.34     84.33     75.51     81.96 
  1816       79.62     6.256390  0.765948  160.430942        56.34     80.04     99.99     82.10 
  1817       80.63     6.258636  0.768129  160.254509        56.34     84.25    100.00     81.91 
  1818       73.47     6.286629  0.766050  159.876651        56.34     79.96     75.51     82.07 
  1819       80.67     6.258636  0.768129  160.254509        56.34     84.25    100.00     82.09 
  1820       74.46     5.440841  0.843735  224.892464        56.34     83.89     75.51     82.11 
  1821       80.61     5.081926  0.804408  225.724684        56.34     84.04     99.99     82.08 
  1822       83.31     3.136428  0.870644  183.111540        59.17     92.11    100.00     81.98 
  1823       88.43     1.426548  0.988027  176.395564        94.44     91.75     75.49     92.04 
  1824       90.87     2.489038  0.950335  188.162413        88.46     92.91    100.00     82.11 
  1825       88.18     0.531121  0.828912  116.361851        93.77     91.02     75.50     92.43 
  1826       82.42     2.019713  0.827629  157.274497        79.25     92.84     75.50     82.11 
  1827       90.86     1.516454  0.822843  178.694751        89.38     92.18    100.00     81.90 
  1828       94.07     0.565728  0.792828  112.637856        94.01     91.09    100.00     91.16 
  1829       89.53     0.579440  0.914754  61.238529        94.45     95.82     75.50     92.33 
  1830       92.65     1.438038  0.848129  27.749859        90.85     97.64    100.00     82.11 
  1831       83.22     2.116302  0.831414  49.739195        78.64     96.62     75.51     82.10 
  1832       89.90     2.348326  0.900570  35.263152        80.69     96.84    100.00     82.07 
  1833       83.78     3.234723  0.864051  42.081719        57.38     95.67     99.98     82.08 
  1834       83.20     3.417220  0.837424  71.393463        56.34     94.36    100.00     82.08 
  1835       87.21     3.511736  0.944358  35.044803        70.71     96.04    100.00     82.09 
  1836       89.93     2.381621  0.913677  52.187920        81.24     96.40     99.99     82.09 
  1837       93.30     1.436470  0.958307  56.753769        94.28     96.69     99.99     82.25 
  1838       88.95     1.010329  0.935161  94.473402        94.27     95.02     75.49     91.01 
  1839       90.77     2.053302  0.901449  114.429341        88.39     92.62     99.99     82.07 
  1840       82.79     2.888606  0.823103  117.709461        56.81     92.25    100.00     82.08 
  1841       86.65     0.920355  0.806435  93.576044        93.97     95.02     75.50     82.11 
  1842       84.05     1.471327  0.772941  50.714586        81.82     96.91     75.51     81.96 
  1843       88.22     1.872659  0.776514  148.146285        78.05     92.76     99.99     82.09 
  1844       81.85     2.005054  0.780792  126.146982        77.00     92.91     75.51     81.97 
  1845       77.44     2.474943  0.794444  116.723054        59.23     92.91     75.51     82.10 
  1846       85.57     1.245334  0.859068  135.241372        92.88     91.82     75.49     82.10 
  1847       79.43     2.641974  0.830702  116.127252        67.31     92.84     75.51     82.08 
  1848       92.84     1.163483  0.865591  89.263971        93.76     95.53    100.00     82.08 
  1849       82.88     2.717375  0.938269  118.985495        80.79     93.13     75.51     82.07 
  1850       92.91     1.595370  0.905717  40.997633        92.45     97.13     99.98     82.08 
  1851       84.22     2.778019  0.823452  13.438648        58.19     96.62     99.99     82.09 
  1852       85.41     1.797383  0.859790  70.830191        87.73     96.33     75.51     82.08 
  1853       91.67     2.954159  0.989285  65.763870        88.78     95.82     99.98     82.10 
  1854       86.89     4.320463  0.979050  28.248226        70.24     95.24     99.99     82.10 
  1855       89.14     3.760938  0.974973  37.181790        78.53     95.96     99.99     82.07 
  1856       86.47     3.196109  0.908599  91.476741        69.27     94.51     99.99     82.10 
  1857       83.53     2.655926  0.919342  34.744771        79.90     96.62     75.51     82.08 
  1858       85.65     3.094876  0.993082  39.328196        88.59     96.55     75.50     81.96 
  1859       77.12     4.112093  0.923436  70.608070        56.84     94.07     75.50     82.09 
  1860       82.93     4.153532  0.922160  99.676186        56.34     93.42     99.99     81.97 
  1861       92.19     2.620078  0.988424  77.362214        90.72     95.96     99.98     82.08 
  1862       92.12     2.594434  0.987851  96.144347        90.76     95.60    100.00     82.11 
  1863       86.81     3.270867  0.917877  55.383314        69.62     95.53     99.99     82.09 
  1864       86.10     1.865304  0.918921  74.836286        90.74     96.25     75.51     81.91 
  1865       83.31     2.764172  0.926495  54.960033        79.72     96.04     75.51     81.96 
  1866       89.73     2.456012  0.902156  34.438046        80.08     96.76    100.00     82.09 
  1867       92.10     1.761121  0.872112  53.460110        89.39     96.91    100.00     82.09 
  1868       92.71     1.265074  0.801988  14.108231        90.81     97.93     99.99     82.11 
  1869       83.61     2.405913  0.742477  40.112008        56.34     96.04     99.99     82.09 
  1870       93.27     0.960319  0.842583  42.461439        94.36     96.84     99.98     81.91 
  1871       85.65     1.449552  0.795095  65.999066        88.52     96.47     75.49     82.10 
  1872       86.08     1.497346  0.822367  36.540854        89.46     97.42     75.49     81.96 
  1873       86.14     1.445937  0.831464  69.468870        90.48     96.47     75.51     82.09 
  1874       86.95     1.295558  0.852578  20.148446        92.60     97.78     75.50     81.91 
  1875       92.47     1.526182  0.845557  35.765162        90.40     97.42     99.98     82.08 
  1876       86.93     0.990242  0.794081  55.329194        93.58     96.55     75.50     82.10 
  1877       91.99     1.676250  0.852945  49.289288        88.73     97.13    100.00     82.10 
  1878       89.43     0.758895  0.870633  37.751658        94.18     97.13     75.51     90.90 
  1879       86.53     1.327619  0.826808  43.735712        91.50     97.05     75.50     82.08 
  1880       89.35     0.951064  0.907893  14.853896        94.36     97.93     75.51     89.59 
  1881       87.20     1.503090  0.930759  22.093236        93.68     97.71     75.51     81.89 
  1882       95.97     0.598182  0.885688  32.094573        94.53     97.05     99.99     92.30 
  1883       89.74     0.581133  0.918796  49.476119        94.53     96.62     75.51     92.31 
  1884       87.31     0.905316  0.856628  28.048113        94.06     97.56     75.51     82.10 
  1885       95.79     0.668181  0.849161  25.136670        94.01     97.49    100.00     91.67 
  1886       87.08     1.370581  0.884544  10.408597        92.82     97.93     75.50     82.09 
  1887       87.28     1.337686  0.890931  14.145778        93.55     98.00     75.49     82.10 
  1888       87.12     1.139615  0.843148  37.023197        93.58     97.35     75.49     82.08 
  1889       94.47     0.767785  0.822582  17.276194        94.48     97.93     99.98     85.48 
  1890       93.52     0.838852  0.827756  16.601202        94.09     97.93    100.00     82.07 
  1891       87.15     1.094104  0.845189  30.603757        93.75     97.27     75.50     82.09 
  1892       93.25     1.122254  0.822411  17.291388        92.85     98.07    100.00     82.08 
  1893       93.13     1.289113  0.841747  19.548444        92.46     97.93    100.00     82.11 
  1894       93.38     0.930806  0.844813  34.506337        94.25     97.20     99.99     82.10 
  1895       86.54     1.279571  0.822722  41.078973        91.65     97.05     75.50     81.97 
  1896       87.21     0.912884  0.849072  37.250675        94.15     97.20     75.50     81.97 
  1897       87.22     1.132783  0.848532  23.096505        93.66     97.64     75.51     82.09 
  1898       86.88     1.409995  0.872883  32.886579        92.50     97.42     75.51     82.08 
  1899       93.40     1.034717  0.873957  37.332508        94.28     97.27     99.98     82.08 
  1900       93.39     1.053289  0.889141  35.525432        94.20     97.27     99.99     82.11 
  1901       94.53     0.964169  0.897024  27.127806        94.47     97.56     99.99     86.11 
  1902       93.38     1.054696  0.890366  31.818436        94.19     97.27     99.99     82.09 
  1903       87.49     1.154392  0.903554  18.694941        94.30     98.07     75.49     82.09 
  1904       89.87     0.716925  0.911129  30.691888        94.53     97.05     75.51     92.38 
  1905       95.71     0.844243  0.906509  34.782898        94.08     97.13    100.00     91.62 
  1906       88.07     1.028415  0.905349  35.047906        93.97     97.20     75.49     85.61 
  1907       88.17     1.106631  0.916795  29.109116        94.05     97.64     75.51     85.47 
  1908       95.96     0.586712  0.911519  36.564533        94.48     96.98     99.99     92.38 
  1909       89.78     0.501382  0.907251  45.187713        94.50     96.55     75.51     92.55 
  1910       89.82     0.548176  0.912017  37.895862        94.51     96.98     75.51     92.27 
  1911       95.99     0.606638  0.910523  36.195015        94.53     96.98    100.00     92.46 
  1912       96.02     0.616280  0.910834  35.148164        94.54     97.05    100.00     92.47 
  1913       96.01     0.627395  0.909107  36.573774        94.48     97.05     99.99     92.53 
  1914       89.85     0.663646  0.908210  36.829302        94.53     97.05     75.50     92.31 
  1915       96.02     0.619805  0.910197  37.955132        94.54     97.05     99.98     92.51 
  1916       95.97     0.659772  0.907950  37.725840        94.53     97.05     99.99     92.29 
  1917       89.82     0.590982  0.912672  38.334601        94.48     96.98     75.49     92.33 
  1918       89.85     0.594956  0.910653  38.859181        94.50     96.98     75.51     92.41 
  1919       89.86     0.644695  0.911436  38.583293        94.51     97.05     75.49     92.38 
  1920       96.01     0.619805  0.910197  37.955132        94.54     97.05     99.99     92.46 
  1921       89.35     1.863576  0.807878  91.932557        79.64     95.82     99.99     81.96 
  1922       85.96     2.056873  0.921815  58.354292        89.57     96.69     75.50     82.09 
  1923       76.01     3.994074  0.839577  105.694041        56.34     90.07     75.50     82.11 
  1924       85.69     2.443794  0.808636  124.607252        67.65     93.05     99.98     82.09 
  1925       82.50     4.182479  0.716526  75.030405        56.34     91.60     99.99     82.09 
  1926       75.38     4.100509  0.678926  81.166918        56.34     87.60     75.51     82.09 
  1927       84.28     2.210568  0.758548  87.993971        59.72     95.31    100.00     82.09 
  1928       77.68     2.018940  0.673861  27.853216        56.34     96.76     75.51     82.12 
  1929       83.31     3.226596  0.758926  56.000405        56.34     94.80    100.00     82.09 
  1930       82.51     4.783528  0.804343  39.791222        56.34     91.60     99.99     82.11 
  1931       76.38     4.712542  0.792047  57.272404        56.34     91.60     75.50     82.09 
  1932       76.42     5.257636  0.889160  87.016752        56.34     91.75     75.50     82.09 
  1933       76.97     3.657615  0.766453  45.390015        56.34     93.93     75.50     82.10 
  1934       75.06     5.474940  0.787565  65.414438        56.34     86.29     75.51     82.12 
  1935       76.59     4.892605  0.868528  84.127919        56.34     92.40     75.49     82.11 
  1936       83.07     4.036742  0.822010  65.297537        56.34     93.85     99.98     82.11 
  1937       81.43     5.738117  0.882983  87.502018        56.34     87.31     99.98     82.07 
  1938       80.69     7.118380  0.864099  117.824240        56.34     84.47     99.99     81.94 
  1939       77.48     7.694469  0.769313  140.697531        56.34     71.67    100.00     81.90 
  1940       77.36     8.038836  0.711516  87.372147        56.34     71.02     99.99     82.08 
  1941       71.25     8.883978  0.736001  103.947219        56.34     71.02     75.51     82.12 
  1942       72.95     7.795783  0.827191  67.492491        56.34     77.85     75.50     82.09 
  1943       77.38     8.603144  0.826073  37.876911        56.34     71.24    100.00     81.95 
  1944       71.24     8.748971  0.770436  43.728080        56.34     71.02     75.51     82.07 
  1945       79.06     7.929430  0.836496  12.481486        56.34     77.78    100.00     82.10 
  1946       74.82     6.843568  0.883460  59.889487        56.34     85.35     75.51     82.07 
  1947       80.67     7.406501  0.879905  74.855384        56.34     84.25     99.98     82.10 
  1948       73.26     7.981563  0.892732  27.625849        56.34     79.24     75.50     81.97 
  1949       80.84     7.026690  0.885532  22.257072        56.34     85.05    100.00     81.96 
  1950       71.46     7.914637  0.792578  51.796139        56.34     71.89     75.51     82.10 
  1951       79.31     7.667211  0.851682  65.196318        56.34     78.80    100.00     82.09 
  1952       74.98     6.852788  0.924408  20.068078        56.34     86.00     75.49     82.09 
  1953       73.38     7.284060  0.846351  25.232489        56.34     79.60     75.49     82.10 
  1954       73.04     8.106761  0.869811  58.118878        56.34     78.36     75.51     81.96 
  1955       75.02     6.043521  0.844711  73.964803        56.34     86.15     75.51     82.09 
  1956       81.14     6.797480  0.927576  47.041422        56.34     86.15    100.00     82.09 
  1957       81.44     5.828606  0.893286  17.388675        56.34     87.31    100.00     82.11 
  1958       75.35     5.907504  0.909833  23.278554        56.34     87.45     75.49     82.10 
  1959       80.73     7.220950  0.872237  61.685471        56.34     84.47    100.00     82.12 
  1960       79.22     7.269990  0.802215  107.655792        56.34     78.44    100.00     82.12 
  1961       73.28     6.870565  0.799305  75.931440        56.34     79.31     75.51     81.97 
  1962       74.60     6.840390  0.838792  45.586145        56.34     84.47     75.50     82.10 
  1963       80.87     7.140319  0.897916  16.656624        56.34     85.05    100.00     82.07 
  1964       81.07     6.550826  0.881618  46.122259        56.34     85.85    100.00     82.10 
  1965       74.71     6.565268  0.831575  15.482045        56.34     84.91     75.49     82.10 
  1966       80.71     7.545001  0.900520  21.194399        56.34     84.40    100.00     82.10 
  1967       81.27     6.482790  0.933151  51.361842        56.34     86.80     99.99     81.97 
  1968       74.71     7.011115  0.878965  65.589800        56.34     84.91     75.51     82.09 
  1969       77.66     8.021703  0.810927  104.894410        56.34     72.33    100.00     81.96 
